120000
43	50
8	3222
94	710
86	2789
1	560
37	8519
62	204
62	971
42	8439
16	6491
56	4498
53	10025
35	6083
59	439
38	7682
15	3706
74	4134
88	8486
93	8517
46	7355
85	587
65	1933
89	6114
16	6853
15	120
25	3502
2	3579
83	9177
10	5807
88	1974
48	6826
11	305
83	574
61	506
87	1655
51	4321
76	4126
23	3878
26	7631
37	5456
88	3357
4	615
99	5927
42	7930
15	7041
48	6829
47	7405
52	598
58	7286
67	9478
70	7630
92	615
40	9426
73	4108
84	4911
78	3686
85	6299
13	9673
53	4583
20	4303
3	1938
73	8377
6	2613
38	6047
57	1361
88	8273
57	9456
58	5046
18	6585
26	4858
98	8756
90	5965
1	2984
61	9140
88	9668
2	5423
3	8441
47	880
20	1259
69	295
13	9940
59	9776
84	1194
32	3066
20	308
35	4306
23	6650
20	2087
2	3951
5	4627
55	4721
70	4965
10	6326
99	6138
5	4064
38	5994
27	4971
57	9849
13	7753
96	6571
30	8220
6	444
34	1783
9	2331
30	9697
44	2148
21	6216
5	8287
93	10089
7	1200
97	9158
38	9679
74	8454
7	2569
22	8152
29	1910
6	4255
85	9875
31	5328
98	7785
92	955
31	8508
79	9982
85	7689
97	1405
91	3724
60	6393
57	9761
6	1368
83	2327
15	3854
5	9503
72	5456
73	6153
35	674
24	8449
74	4675
57	8045
44	4291
82	8649
34	6758
24	9086
72	1522
80	1097
34	5229
5	3121
16	1308
97	6121
29	417
13	1439
88	1182
22	9576
31	921
70	557
50	7061
67	4461
86	2979
23	3271
39	3820
90	3294
54	5876
36	3400
73	1402
74	212
49	8277
91	8105
55	3829
20	7021
86	7232
57	1478
56	1522
9	1997
14	8349
50	377
84	1034
66	4099
29	3857
93	3023
53	9706
3	2506
73	2586
50	3676
23	9608
48	5958
42	9930
54	3589
40	1949
69	4772
47	6256
18	8981
56	8892
84	6108
89	2829
34	2930
47	7504
44	1973
19	5973
73	1721
98	7782
30	6207
67	5880
47	754
4	6432
13	655
81	9932
82	1806
25	2672
16	929
45	2469
66	4470
67	1487
59	4802
70	7046
88	10078
14	1040
87	1466
4	6261
63	6945
70	4204
94	6147
95	4566
49	2988
80	3160
33	4149
72	221
44	4244
47	366
3	3724
88	5963
76	546
20	837
37	1575
66	2796
82	6150
83	9710
71	7543
31	5481
70	908
37	1892
2	5803
22	8923
67	6390
44	8461
30	5349
1	355
61	2260
90	9379
95	8758
40	5891
28	670
13	4081
93	9672
4	2819
43	3761
27	4510
85	9902
16	8016
83	8800
