98
6802	8114	145	6902	4369	6213	2135	5454	4236	8008	3788	3318	4401	988	7250	774	8121	1459	46	2193	3734	9023	1384	2101	8134	19	2257	4444	6156	648	8744	5031	8689	4877	2230	4806	677	5308	6672	3427	1854	7485	7811	7171	4601	1200	7765	3132	4015	3214	6587	567	6781	9311	4462	6368	2085	3713	9193	1060	5495	9519	2519	6067	7037	552	8129	2430	2742	52	2485	7515	8737	1867	2252	1562	381	7381	6198	7770	7747	8154	8976	7600	3188	8687	799	6867	939	5696	9394	389	1722	1919	2231	8413	7924	5341	
8778	7138	517	4808	2819	8479	8935	8541	6843	7471	8016	919	6004	4387	8828	5728	1468	9253	5156	8438	9243	4783	4055	6476	3308	3632	6768	5606	34	8774	4576	5394	1951	6686	2201	1477	9156	456	7331	1269	3970	1754	1178	620	6985	4038	3181	533	6707	573	8614	3545	5027	131	941	1657	1018	7365	2945	1619	5066	3746	1836	2854	6922	3413	8967	2073	3245	2329	1222	8794	8822	6354	3016	43	2191	6375	7955	7513	7832	2489	4725	3853	2963	8071	5714	576	7566	1275	1690	7333	512	7332	7685	2301	8540	683	
7617	8622	8106	4635	4599	144	6115	176	8178	7612	7311	1340	7280	3369	7225	801	789	9213	2083	3549	45	3707	8814	3194	2333	6970	1796	1232	7262	2839	7509	2886	6741	9198	6123	5141	4979	377	7211	2590	286	4737	4190	294	2267	1648	3231	2727	9484	2583	3770	9423	404	4219	7123	4521	5261	7990	7147	711	2623	2872	7519	7898	5051	51	6036	216	3419	1815	8412	5834	6837	1268	5665	3297	2030	1014	398	7700	1866	7110	1661	1753	3131	902	6342	913	5444	9588	1813	2237	2688	3416	1488	563	4568	7683	
1006	3341	2234	2286	1968	6779	6289	2228	8830	4240	765	7667	6804	12	7156	2678	5225	113	515	629	210	3595	3428	6785	4381	8229	6048	1380	7978	5286	3967	2454	8548	4167	4090	326	2602	1645	2962	8066	1359	9188	5683	8392	7367	1916	8324	3494	3251	3388	7572	1405	8012	9450	1026	4241	6856	1929	4297	2116	2428	4697	3647	7207	447	3146	7627	9157	3227	6714	355	3175	3343	5867	5880	5968	8987	4503	3349	5288	4481	4091	1314	435	4062	2917	5674	1955	1506	6661	5025	5698	9139	2812	6070	8019	6877	8213	
5478	8468	5786	6663	6830	4899	884	1038	1437	5480	8358	7699	794	3049	4493	5746	252	1153	209	9571	495	6288	8582	9375	1940	6396	3263	9063	231	3765	6369	9022	202	932	400	1595	6432	936	6147	3247	5877	4398	3772	97	8266	8417	413	3150	1292	4874	3134	4413	785	8608	4458	3135	2292	9	7290	9197	6814	2209	3424	2091	2799	3558	3402	3609	4124	1498	6191	628	1111	8378	6145	9088	916	6704	3123	1400	1961	5670	5917	4795	5240	1696	6698	8070	2684	1637	5321	1790	2477	2895	783	8027	2680	8289	
3236	2093	4705	7794	7548	446	1159	3314	1644	1388	1341	6306	1417	6976	7459	269	1853	911	7097	3561	3951	3468	8561	2512	7643	3095	1599	7819	2610	436	4548	1362	875	2263	6443	5530	2972	2755	132	5460	8759	2600	4766	4887	319	7349	1980	2905	5169	6706	439	9550	6118	2609	3456	3032	4692	336	3366	5397	847	1724	1408	2866	2843	2151	8639	2348	5291	6224	1816	4067	5312	6586	715	229	479	7177	5238	29	2901	5717	923	7230	6458	5583	177	5192	5337	7231	1167	6348	3362	2090	2310	6283	6801	8679	
8938	6337	5402	4151	5820	1248	1	1998	4419	2514	7172	5546	1189	4861	2313	4785	6439	8290	1109	7812	6063	251	6398	1005	3220	1361	1059	4879	6803	9184	3288	1130	3597	7889	9501	8537	4129	890	7299	2426	7028	5247	2856	1274	6685	293	4732	7075	8207	2700	1889	2538	5469	7754	111	3773	4468	4699	1370	5360	2268	8864	6611	2915	9305	9599	2567	2335	2722	3233	3241	6327	722	3219	6374	6530	5638	3367	4142	2327	4963	7724	1519	1398	3861	7545	9552	1673	8559	2845	5186	8374	120	2528	2387	3858	9074	4794	
3447	2143	7053	3359	3038	8096	3200	3556	1061	2055	3412	630	611	4805	1427	5524	866	9250	7132	3596	5246	5770	2243	4642	264	1755	3921	7606	6234	7483	9485	6639	8321	720	2245	8812	3207	661	3141	6501	4832	4329	827	2521	2775	2411	8423	3611	2358	5539	6763	1296	8957	5620	2469	6818	680	1528	3784	2588	3585	6246	8209	2894	843	8694	5851	7590	1347	1499	5355	9140	3565	8404	1883	3631	2804	4687	7291	2078	8079	9033	5166	5258	590	8940	295	6937	2571	7246	4857	2192	8519	1037	2251	1613	9383	5262	
9114	6979	117	5904	7496	1879	5734	1742	488	8684	883	6797	7858	1797	2487	6990	5833	8222	2605	4093	5149	2394	8888	9466	196	4735	4070	3896	3688	3927	810	8237	2145	3339	8524	6507	4943	423	4025	6623	8658	4304	9362	7247	8373	2943	8825	4061	2809	6144	2403	6880	2592	2217	5352	9248	1900	1926	2254	9425	2561	9324	4589	2468	123	6890	5551	463	8770	3035	1355	1057	541	4192	1288	3211	8652	876	1438	7430	8698	1116	4989	7874	130	4871	1873	3149	7322	4395	4519	9304	8562	1917	2294	9084	5353	5751	
3487	4064	5185	1663	3323	6339	8557	5275	5919	621	7688	8147	3705	3743	5852	5974	7673	945	8544	3056	115	676	3435	4461	1069	6222	2256	1725	7214	2398	8488	358	817	3766	2982	5571	2337	1367	5500	3296	7780	1188	651	819	1395	2797	4007	2413	9490	8175	3933	6882	6249	2275	927	3548	3857	39	5582	729	89	2449	5796	431	4826	7876	3221	4009	1276	1482	6912	855	383	79	7346	8648	1019	1045	5552	8676	3358	3931	5461	3406	162	3995	8053	280	6316	3535	2249	8056	4649	9541	118	4710	6615	8050	
